polygonid,elevation
3747,106
3747,98
3747,106
3748,109
3748,119
3748,112
3748,106
3748,108
3749,124
3749,117
3749,126
3749,129
3749,123
3750,121
3750,117
3750,126
3750,124
3750,118
3751,76
3751,92
3751,78
3751,100
3751,98
3752,88
3752,94
3752,97
3752,87
3752,96
3753,85
3753,90
3753,81
3753,84
3753,86
3754,79
3754,83
3754,89
3754,89
3754,94
3755,92
3755,90
3755,88
3755,84
3755,88
3756,86
3756,95
3756,99
3756,94
3756,91
3757,92
3757,87
3757,77
3757,83
3757,98
3758,91
3758,89
3758,88
3758,82
3758,78
3759,76
3759,84
3759,84
3759,92
3759,80
3760,72
3760,75
3760,73
3760,76
3760,79
3761,75
3761,80
3761,78
3761,72
3761,73
3762,76
3762,75
3762,78
3762,78
3762,77
3763,75
3763,72
3763,76
3763,87
3763,78
3764,80
3764,80
3764,79
3764,80
3764,84
3765,72
3765,73
3765,71
3765,75
3765,79
3766,82
3766,76
3766,85
3766,78
3766,82
3767,88
3767,85
