polygonid,elevation
17369,202
17369,122
17369,155
17369,253
17369,72
17370,46
17370,46
17370,46
17370,47
17370,46
17371,48
17371,45
17371,47
17371,45
17371,52
17372,61
17372,57
17372,53
17372,53
17372,61
17373,56
17373,53
17373,51
17373,49
17373,58
17374,50
17374,50
17374,46
17374,51
17374,48
17375,45
17375,45
17375,46
17375,44
17375,51
17376,57
17376,57
17376,65
17376,66
17376,60
17377,67
17377,61
17377,67
17377,71
17377,69
17378,88
17378,79
17378,96
17378,82
17378,80
17379,97
17379,83
17379,103
17379,102
17379,89
17380,264
17380,164
17380,211
17380,73
17380,153
17381,439
17381,432
17381,84
17381,472
17381,254
17382,73
17382,84
17382,85
17382,83
17382,92
17383,101
17383,102
17383,101
17383,100
17383,92
17384,117
17384,121
17384,114
17384,118
17384,131
17385,140
17385,117
17385,129
17385,137
17385,109
17386,147
17386,165
17386,142
17386,149
17386,147
17387,164
17387,286
17387,192
17387,210
17387,200
17388,154
17388,161
17388,173
17388,155
17388,162
