polygonid,elevation
17709,118
17709,112
17709,114
17709,120
17710,157
17710,167
17710,128
17710,129
17710,143
17711,138
17711,145
17711,142
17711,144
17711,137
17712,171
17712,171
17712,171
17712,131
17712,149
17713,88
17713,113
17713,115
17713,136
17713,95
17714,133
17714,99
17714,146
17714,169
17714,115
17715,170
17715,197
17715,181
17715,169
17715,249
17716,513
17716,383
17716,314
17716,706
17716,398
17717,171
17717,554
17717,394
17717,621
17717,259
17718,91
17718,94
17718,89
17718,95
17718,92
17719,88
17719,92
17719,93
17719,97
17719,95
17720,90
17720,85
17720,82
17720,82
17720,85
17721,82
17721,83
17721,84
17721,85
17721,80
17722,93
17722,86
17722,92
17722,93
17722,89
17723,78
17723,79
17723,83
17723,77
17723,79
17724,85
17724,83
17724,92
17724,80
17724,85
17725,87
17725,88
17725,84
17725,85
17725,88
17726,131
17726,127
17726,139
17726,125
17726,124
17727,117
17727,120
17727,119
17727,114
17727,115
17728,104
17728,94
17728,98
17728,106
17728,107
17729,113
17729,95
