polygonid,elevation
18750,13
18751,10
18751,10
18751,12
18751,9
18751,12
18752,8
18752,9
18752,9
18752,1
18752,9
18753,5
18753,7
18753,4
18753,2
18753,4
18754,7
18754,7
18754,8
18754,6
18754,12
18755,7
18755,5
18755,7
18755,7
18755,4
18756,1
18756,1
18756,4
18756,5
18756,1
18757,0
18757,3
18757,0
18757,2
18757,2
18758,3
18758,4
18758,3
18758,2
18758,4
18759,5
18759,8
18759,8
18759,8
18759,3
18760,11
18760,14
18760,16
18760,20
18760,15
18761,18
18761,18
18761,8
18761,12
18761,17
18762,16
18762,16
18762,15
18762,16
18762,15
18763,6
18763,11
18763,15
18763,13
18763,12
18764,6
18764,8
18764,7
18764,8
18764,11
18765,9
18765,9
18765,3
18765,7
18765,5
18766,15
18766,15
18766,15
18766,16
18766,16
18767,13
18767,12
18767,12
18767,11
18767,10
18768,18
18768,19
18768,15
18768,16
18768,16
18769,11
18769,12
18769,9
18769,9
18769,11
18770,-3
18770,0
18770,1
18770,0
