polygonid,elevation
4668,14
4668,13
4668,12
4669,12
4669,10
4669,10
4669,12
4669,12
4670,8
4670,14
4670,14
4670,14
4670,15
4671,8
4671,7
4671,8
4671,7
4671,4
4672,8
4672,5
4672,6
4672,5
4672,4
4673,4
4673,7
4673,6
4673,4
4673,7
4674,4
4674,6
4674,6
4674,6
4674,7
4675,7
4675,7
4675,6
4675,7
4675,8
4676,8
4676,5
4676,8
4676,7
4676,7
4677,13
4677,10
4677,11
4677,11
4677,10
4678,7
4678,9
4678,6
4678,7
4678,16
4679,7
4679,4
4679,7
4679,4
4679,8
4680,11
4680,10
4680,9
4680,13
4680,8
4681,11
4681,7
4681,10
4681,9
4681,11
4682,10
4682,10
4682,13
4682,12
4682,10
4683,12
4683,0
4683,0
4683,7
4683,5
4684,0
4684,0
4684,11
4684,0
4684,0
4685,14
4685,12
4685,16
4685,16
4685,13
4686,12
4686,19
4686,13
4686,18
4686,14
4687,12
4687,9
4687,14
4687,19
4687,15
4688,18
4688,17
