polygonid,elevation
18550,174
18550,171
18551,168
18551,243
18551,218
18551,265
18551,256
18552,481
18552,241
18552,423
18552,220
18552,277
18553,543
18553,361
18553,545
18553,517
18553,564
18554,188
18554,155
18554,165
18554,145
18554,152
18555,197
18555,192
18555,150
18555,185
18555,150
18556,162
18556,143
18556,151
18556,168
18556,146
18557,119
18557,137
18557,130
18557,119
18557,132
18558,137
18558,159
18558,142
18558,136
18558,133
18559,132
18559,132
18559,137
18559,132
18559,141
18560,135
18560,138
18560,138
18560,135
18560,130
18561,204
18561,164
18561,151
18561,197
18561,200
18562,125
18562,132
18562,129
18562,127
18562,129
18563,126
18563,131
18563,126
18563,133
18563,131
18564,132
18564,129
18564,130
18564,130
18564,131
18565,127
18565,124
18565,126
18565,123
18565,126
18566,121
18566,128
18566,119
18566,121
18566,128
18567,176
18567,130
18567,173
18567,154
18567,134
18568,116
18568,128
18568,110
18568,117
18568,126
18569,138
18569,181
18569,148
18569,137
18569,172
18570,143
18570,144
18570,137
