polygonid,elevation
4067,67
4068,68
4068,69
4068,72
4068,74
4068,70
4069,68
4069,67
4069,67
4069,65
4069,70
4070,64
4070,64
4070,63
4070,65
4070,62
4071,64
4071,65
4071,65
4071,67
4071,67
4072,65
4072,65
4072,66
4072,66
4072,68
4073,73
4073,69
4073,69
4073,71
4073,67
4074,67
4074,69
4074,69
4074,67
4074,66
4075,66
4075,65
4075,65
4075,66
4075,66
4076,71
4076,68
4076,67
4076,70
4076,71
4077,70
4077,68
4077,66
4077,68
4077,67
4078,68
4078,72
4078,70
4078,65
4078,68
4079,64
4079,63
4079,66
4079,63
4079,61
4080,64
4080,67
4080,67
4080,64
4080,65
4081,68
4081,68
4081,67
4081,68
4081,67
4082,68
4082,65
4082,64
4082,63
4082,65
4083,62
4083,65
4083,64
4083,64
4083,60
4084,61
4084,61
4084,61
4084,64
4084,63
4085,64
4085,65
4085,63
4085,61
4085,63
4086,63
4086,65
4086,64
4086,61
4086,69
4087,62
4087,67
4087,66
4087,63
