polygonid,elevation
11818,94
11819,55
11819,63
11819,52
11819,54
11819,59
11820,61
11820,64
11820,54
11820,65
11820,58
11821,75
11821,64
11821,127
11821,66
11821,133
11822,72
11822,108
11822,133
11822,88
11822,80
11823,222
11823,127
11823,133
11823,182
11823,172
11824,69
11824,69
11824,74
11824,75
11824,75
11825,80
11825,77
11825,78
11825,81
11825,85
11826,115
11826,112
11826,122
11826,78
11826,107
11827,228
11827,222
11827,404
11827,549
11827,200
11828,88
11828,95
11828,92
11828,91
11828,76
11829,72
11829,75
11829,68
11829,61
11829,70
11830,304
11830,754
11830,482
11830,408
11830,478
11831,515
11831,51
11831,300
11831,194
11831,233
11832,54
11832,69
11832,54
11832,36
11832,42
11833,13
11833,13
11833,160
11833,18
11833,13
11834,18
11834,18
11834,13
11834,16
11834,15
11835,22
11835,17
11835,14
11835,18
11835,18
11836,29
11836,26
11836,28
11836,41
11836,37
11837,49
11837,63
11837,68
11837,60
11837,53
11838,58
11838,79
11838,95
11838,83
