polygonid,elevation
10537,42
10537,44
10538,39
10538,39
10538,37
10538,39
10538,39
10539,32
10539,33
10539,35
10539,31
10539,34
10540,32
10540,35
10540,33
10540,34
10540,34
10541,43
10541,42
10541,43
10541,44
10541,43
10542,36
10542,41
10542,36
10542,39
10542,42
10543,40
10543,38
10543,37
10543,41
10543,41
10544,40
10544,43
10544,42
10544,40
10544,43
10545,41
10545,43
10545,38
10545,43
10545,44
10546,33
10546,31
10546,27
10546,30
10546,30
10547,32
10547,30
10547,30
10547,33
10547,31
10548,32
10548,32
10548,30
10548,31
10548,30
10549,35
10549,37
10549,35
10549,36
10549,37
10550,39
10550,37
10550,37
10550,38
10550,35
10551,33
10551,33
10551,36
10551,33
10551,34
10552,35
10552,33
10552,33
10552,32
10552,34
10553,33
10553,34
10553,34
10553,33
10553,33
10554,32
10554,35
10554,36
10554,33
10554,36
10555,26
10555,30
10555,28
10555,30
10555,27
10556,33
10556,36
10556,29
10556,33
10556,33
10557,33
10557,31
10557,33
