polygonid,elevation
5550,132
5550,142
5551,126
5551,120
5551,153
5551,114
5551,159
5552,155
5552,153
5552,153
5552,152
5552,162
5553,184
5553,171
5553,203
5553,178
5553,196
5554,200
5554,194
5554,174
5554,203
5554,207
5555,139
5555,170
5555,159
5555,144
5555,193
5556,124
5556,131
5556,190
5556,133
5556,180
5557,180
5557,199
5557,180
5557,195
5557,192
5558,364
5558,295
5558,192
5558,162
5558,317
5559,167
5559,154
5559,161
5559,149
5559,153
5560,148
5560,153
5560,159
5560,150
5560,159
5561,200
5561,229
5561,200
5561,183
5561,170
5562,270
5562,268
5562,267
5562,264
5562,274
5563,269
5563,271
5563,270
5563,270
5563,265
5564,267
5564,265
5564,269
5564,272
5564,274
5565,261
5565,257
5565,259
5565,262
5565,259
5566,259
5566,259
5566,262
5566,260
5566,253
5567,260
5567,265
5567,260
5567,264
5567,259
5568,265
5568,266
5568,265
5568,265
5568,264
5569,190
5569,195
5569,189
5569,188
5569,189
5570,240
5570,550
5570,460
