polygonid,elevation
1163,97
1163,95
1163,93
1163,95
1164,94
1164,95
1164,94
1164,95
1164,96
1165,95
1165,98
1165,96
1165,92
1165,94
1166,97
1166,92
1166,96
1166,99
1166,95
1167,93
1167,98
1167,90
1167,93
1167,96
1168,100
1168,93
1168,93
1168,95
1168,95
1169,93
1169,94
1169,94
1169,99
1169,98
1170,98
1170,99
1170,101
1170,98
1170,100
1171,88
1171,94
1171,97
1171,99
1171,93
1172,97
1172,97
1172,97
1172,98
1172,95
1173,98
1173,105
1173,95
1173,96
1173,97
1174,97
1174,98
1174,100
1174,96
1174,95
1175,98
1175,100
1175,96
1175,97
1175,96
1176,96
1176,99
1176,96
1176,95
1176,94
1177,98
1177,100
1177,93
1177,98
1177,100
1178,95
1178,98
1178,98
1178,99
1178,93
1179,98
1179,99
1179,96
1179,98
1179,95
1180,97
1180,95
1180,99
1180,93
1180,97
1181,97
1181,91
1181,99
1181,94
1181,98
1182,102
1182,96
1182,98
1182,97
1182,98
1183,98
