polygonid,elevation
15245,54
15245,61
15246,53
15246,53
15246,49
15246,57
15246,48
15247,52
15247,62
15247,54
15247,55
15247,55
15248,89
15248,79
15248,94
15248,67
15248,72
15249,75
15249,75
15249,65
15249,72
15249,63
15250,70
15250,85
15250,70
15250,77
15250,78
15251,78
15251,90
15251,81
15251,83
15251,92
15252,65
15252,64
15252,68
15252,67
15252,63
15253,47
15253,56
15253,60
15253,73
15253,86
15254,42
15254,49
15254,46
15254,47
15254,50
15255,47
15255,48
15255,50
15255,51
15255,49
15256,77
15256,94
15256,75
15256,73
15256,71
15257,82
15257,87
15257,88
15257,81
15257,92
15258,71
15258,76
15258,71
15258,75
15258,85
15259,86
15259,82
15259,89
15259,96
15259,92
15260,68
15260,80
15260,76
15260,69
15260,91
15261,94
15261,87
15261,94
15261,90
15261,95
15262,81
15262,84
15262,83
15262,79
15262,83
15263,91
15263,98
15263,113
15263,95
15263,128
15264,95
15264,79
15264,89
15264,87
15264,103
15265,44
15265,41
15265,40
