polygonid,elevation
18330,34
18330,30
18330,38
18331,32
18331,21
18331,27
18331,32
18331,32
18332,26
18332,30
18332,31
18332,21
18332,31
18333,11
18333,16
18333,16
18333,12
18333,24
18334,7
18334,20
18334,11
18334,21
18334,13
18335,42
18335,36
18335,43
18335,41
18335,31
18336,18
18336,30
18336,28
18336,33
18336,21
18337,32
18337,40
18337,31
18337,40
18337,36
18338,35
18338,40
18338,40
18338,37
18338,38
18339,53
18339,41
18339,50
18339,38
18339,41
18340,41
18340,42
18340,50
18340,41
18340,15
18341,92
18341,304
18341,257
18341,156
18341,522
18342,585
18342,543
18342,697
18342,648
18342,563
18343,404
18343,809
18343,690
18343,708
18343,748
18344,487
18344,496
18344,393
18344,428
18344,545
18345,92
18345,193
18345,14
18345,5
18345,228
18346,391
18346,223
18346,332
18346,363
18346,283
18347,124
18347,121
18347,121
18347,100
18347,108
18348,236
18348,158
18348,213
18348,204
18348,248
18349,300
18349,388
18349,260
18349,244
18349,357
18350,244
18350,267
