polygonid,elevation
8956,35
8956,39
8956,37
8956,35
8956,39
8957,29
8957,29
8957,30
8957,27
8957,25
8958,31
8958,34
8958,33
8958,31
8958,32
8959,35
8959,37
8959,33
8959,34
8959,33
8960,33
8960,37
8960,32
8960,31
8960,33
8961,37
8961,33
8961,36
8961,33
8961,35
8962,34
8962,34
8962,34
8962,31
8962,38
8963,33
8963,35
8963,36
8963,36
8963,34
8964,38
8964,37
8964,37
8964,37
8964,39
8965,41
8965,36
8965,34
8965,37
8965,35
8966,37
8966,37
8966,38
8966,36
8966,39
8967,436
8967,431
8967,438
8967,434
8967,441
8968,539
8968,539
8968,512
8968,504
8968,533
8969,553
8969,560
8969,557
8969,560
8969,557
8970,508
8970,532
8970,525
8970,517
8970,532
8971,512
8971,499
8971,511
8971,502
8971,500
8972,543
8972,525
8972,529
8972,530
8972,537
8973,539
8973,530
8973,541
8973,549
8973,542
8974,550
8974,549
8974,536
8974,550
8974,538
8975,546
8975,537
8975,551
8975,547
8975,535
