polygonid,elevation
3867,57
3867,57
3868,54
3868,58
3868,59
3868,51
3868,53
3869,67
3869,69
3869,67
3869,73
3869,65
3870,64
3870,67
3870,71
3870,70
3870,68
3871,60
3871,55
3871,68
3871,63
3871,53
3872,63
3872,64
3872,63
3872,58
3872,66
3873,63
3873,62
3873,60
3873,54
3873,59
3874,58
3874,62
3874,49
3874,65
3874,58
3875,58
3875,59
3875,63
3875,59
3875,59
3876,62
3876,51
3876,62
3876,63
3876,61
3877,65
3877,64
3877,65
3877,68
3877,65
3878,64
3878,72
3878,68
3878,66
3878,67
3879,60
3879,66
3879,62
3879,57
3879,61
3880,99
3880,66
3880,76
3880,89
3880,57
3881,55
3881,50
3881,51
3881,51
3881,55
3882,50
3882,61
3882,52
3882,64
3882,50
3883,50
3883,55
3883,55
3883,48
3883,52
3884,46
3884,47
3884,45
3884,45
3884,46
3885,45
3885,44
3885,42
3885,51
3885,42
3886,42
3886,43
3886,44
3886,42
3886,42
3887,47
3887,43
3887,49
