polygonid,elevation
17529,9
17529,11
17529,3
17529,9
17530,5
17530,3
17530,7
17530,1
17530,10
17531,3
17531,6
17531,6
17531,2
17531,2
17532,8
17532,5
17532,9
17532,5
17532,8
17533,8
17533,8
17533,8
17533,8
17533,8
17534,11
17534,7
17534,8
17534,5
17534,3
17535,10
17535,8
17535,5
17535,6
17535,5
17536,7
17536,6
17536,8
17536,7
17536,5
17537,7
17537,4
17537,3
17537,-1
17537,3
17538,1
17538,-3
17538,3
17538,5
17538,1
17539,11
17539,7
17539,11
17539,6
17539,8
17540,8
17540,10
17540,12
17540,14
17540,16
17541,11
17541,18
17541,19
17541,7
17541,17
17542,14
17542,14
17542,14
17542,6
17542,12
17543,13
17543,16
17543,16
17543,12
17543,9
17544,9
17544,12
17544,14
17544,11
17544,10
17545,8
17545,8
17545,9
17545,12
17545,12
17546,19
17546,17
17546,17
17546,17
17546,16
17547,24
17547,20
17547,22
17547,23
17547,21
17548,17
17548,19
17548,18
17548,16
17548,15
17549,15
