polygonid,elevation
8714,123
8715,-1
8715,81
8715,113
8715,36
8715,124
8716,229
8716,293
8716,286
8716,248
8716,297
8717,20
8717,2
8717,107
8717,36
8717,16
8718,0
8718,3
8718,4
8718,3
8718,-1
8719,17
8719,63
8719,89
8719,2
8719,84
8720,101
8720,61
8720,64
8720,17
8720,53
8721,26
8721,55
8721,67
8721,15
8721,1
8722,163
8722,94
8722,43
8722,91
8722,71
8723,113
8723,158
8723,124
8723,111
8723,113
8724,257
8724,229
8724,185
8724,235
8724,245
8725,38
8725,4
8725,43
8725,104
8725,54
8726,145
8726,43
8726,42
8726,345
8726,73
8727,61
8727,49
8727,80
8727,105
8727,258
8728,33
8728,66
8728,85
8728,214
8728,231
8729,66
8729,52
8729,51
8729,1
8729,72
8730,58
8730,19
8730,57
8730,21
8730,52
8731,18
8731,51
8731,13
8731,30
8731,5
8732,155
8732,43
8732,163
8732,38
8732,56
8733,190
8733,85
8733,152
8733,271
8733,223
8734,12
8734,22
8734,100
8734,44
