polygonid,elevation
11178,78
11178,89
11178,107
11178,91
11179,122
11179,120
11179,114
11179,129
11179,120
11180,116
11180,86
11180,94
11180,84
11180,80
11181,115
11181,117
11181,114
11181,124
11181,151
11182,112
11182,116
11182,105
11182,114
11182,106
11183,87
11183,51
11183,64
11183,74
11183,96
11184,59
11184,59
11184,59
11184,51
11184,54
11185,49
11185,47
11185,45
11185,52
11185,45
11186,47
11186,49
11186,49
11186,47
11186,47
11187,48
11187,55
11187,51
11187,53
11187,49
11188,52
11188,53
11188,50
11188,55
11188,52
11189,49
11189,51
11189,56
11189,56
11189,52
11190,55
11190,56
11190,56
11190,55
11190,55
11191,45
11191,48
11191,55
11191,50
11191,53
11192,52
11192,47
11192,43
11192,47
11192,52
11193,49
11193,47
11193,50
11193,47
11193,50
11194,27
11194,34
11194,40
11194,38
11194,33
11195,34
11195,42
11195,42
11195,38
11195,38
11196,45
11196,49
11196,47
11196,47
11196,47
11197,47
11197,46
11197,48
11197,42
11197,44
11198,44
