polygonid,elevation
4348,44
4348,44
4348,39
4348,43
4348,43
4349,48
4349,46
4349,48
4349,43
4349,44
4350,47
4350,45
4350,47
4350,47
4350,47
4351,42
4351,44
4351,43
4351,44
4351,46
4352,46
4352,43
4352,46
4352,45
4352,44
4353,46
4353,50
4353,49
4353,50
4353,47
4354,46
4354,46
4354,46
4354,46
4354,47
4355,46
4355,48
4355,50
4355,48
4355,48
4356,41
4356,40
4356,39
4356,38
4356,43
4357,42
4357,41
4357,41
4357,39
4357,39
4358,37
4358,39
4358,42
4358,40
4358,41
4359,43
4359,43
4359,42
4359,44
4359,42
4360,42
4360,41
4360,46
4360,44
4360,42
4361,39
4361,40
4361,41
4361,41
4361,43
4362,39
4362,40
4362,38
4362,38
4362,39
4363,41
4363,38
4363,40
4363,40
4363,40
4364,39
4364,39
4364,41
4364,41
4364,41
4365,38
4365,38
4365,41
4365,42
4365,37
4366,34
4366,38
4366,38
4366,34
4366,37
4367,40
4367,40
4367,40
4367,39
4367,39
