polygonid,elevation
18790,74
18791,69
18791,154
18791,159
18791,178
18791,127
18792,827
18792,215
18792,415
18792,420
18792,174
18793,36
18793,36
18793,35
18793,42
18793,42
18794,28
18794,31
18794,30
18794,34
18794,32
18795,23
18795,24
18795,22
18795,20
18795,23
18796,35
18796,32
18796,35
18796,34
18796,34
18797,38
18797,36
18797,33
18797,35
18797,34
18798,37
18798,35
18798,35
18798,39
18798,35
18799,30
18799,30
18799,30
18799,29
18799,31
18800,22
18800,30
18800,23
18800,20
18800,16
18801,30
18801,30
18801,33
18801,31
18801,31
18802,37
18802,37
18802,37
18802,36
18802,36
18803,33
18803,32
18803,29
18803,27
18803,32
18804,16
18804,19
18804,15
18804,36
18804,21
18805,60
18805,44
18805,53
18805,179
18805,58
18806,46
18806,50
18806,49
18806,41
18806,52
18807,55
18807,52
18807,54
18807,54
18807,55
18808,54
18808,59
18808,58
18808,61
18808,57
18809,56
18809,59
18809,58
18809,57
18809,59
18810,53
18810,56
18810,62
18810,60
