polygonid,elevation
18770,1
18771,-1
18771,1
18771,-1
18771,-3
18771,-1
18772,-3
18772,5
18772,4
18772,-1
18772,1
18773,0
18773,-1
18773,1
18773,1
18773,4
18774,-1
18774,1
18774,2
18774,1
18774,1
18775,6
18775,4
18775,3
18775,5
18775,5
18776,6
18776,5
18776,4
18776,5
18776,3
18777,5
18777,6
18777,5
18777,5
18777,6
18778,5
18778,4
18778,5
18778,5
18778,5
18779,6
18779,6
18779,4
18779,7
18779,8
18780,9
18780,6
18780,11
18780,6
18780,13
18781,11
18781,11
18781,8
18781,8
18781,10
18782,13
18782,12
18782,17
18782,16
18782,15
18783,6
18783,12
18783,13
18783,8
18783,11
18784,18
18784,7
18784,17
18784,9
18784,16
18785,25
18785,28
18785,32
18785,32
18785,28
18786,29
18786,28
18786,29
18786,26
18786,29
18787,27
18787,28
18787,28
18787,29
18787,29
18788,30
18788,33
18788,27
18788,31
18788,36
18789,65
18789,39
18789,42
18789,52
18789,40
18790,109
18790,163
18790,43
18790,61
