polygonid,elevation
7653,53
7654,63
7654,61
7654,64
7654,66
7654,59
7655,58
7655,51
7655,54
7655,59
7655,55
7656,45
7656,44
7656,54
7656,49
7656,55
7657,50
7657,45
7657,44
7657,49
7657,52
7658,43
7658,40
7658,38
7658,42
7658,39
7659,32
7659,34
7659,37
7659,39
7659,31
7660,32
7660,33
7660,33
7660,36
7660,33
7661,34
7661,34
7661,34
7661,34
7661,35
7662,33
7662,33
7662,34
7662,31
7662,29
7663,33
7663,34
7663,35
7663,36
7663,32
7664,38
7664,45
7664,52
7664,41
7664,41
7665,34
7665,36
7665,38
7665,40
7665,36
7666,39
7666,39
7666,39
7666,40
7666,41
7667,29
7667,31
7667,36
7667,33
7667,35
7668,54
7668,49
7668,52
7668,53
7668,52
7669,48
7669,41
7669,49
7669,42
7669,48
7670,44
7670,43
7670,44
7670,44
7670,47
7671,37
7671,39
7671,36
7671,39
7671,37
7672,33
7672,37
7672,40
7672,28
7672,37
7673,34
7673,37
7673,31
7673,27
