polygonid,elevation
10918,16
10918,16
10918,7
10918,1
10918,1
10919,18
10919,17
10919,17
10919,19
10919,17
10920,6
10920,5
10920,5
10920,4
10920,1
10921,1
10921,4
10921,11
10921,10
10921,19
10922,5
10922,6
10922,9
10922,5
10922,10
10923,11
10923,7
10923,7
10923,11
10923,7
10924,9
10924,9
10924,3
10924,10
10924,10
10925,5
10925,4
10925,0
10925,1
10925,8
10926,5
10926,7
10926,7
10926,7
10926,7
10927,7
10927,9
10927,8
10927,8
10927,6
10928,8
10928,7
10928,7
10928,7
10928,5
10929,5
10929,0
10929,8
10929,0
10929,5
10930,6
10930,10
10930,9
10930,9
10930,11
10931,6
10931,5
10931,5
10931,8
10931,0
10932,0
10932,0
10932,0
10932,0
10932,5
10933,0
10933,8
10933,0
10933,0
10933,0
10934,4
10934,7
10934,5
10934,8
10934,11
10935,12
10935,7
10935,9
10935,8
10935,5
10936,6
10936,6
10936,5
10936,3
10936,4
10937,7
10937,7
10937,6
10937,8
10937,5
