polygonid,elevation
3947,52
3947,39
3948,68
3948,67
3948,61
3948,69
3948,68
3949,65
3949,63
3949,66
3949,66
3949,63
3950,58
3950,60
3950,65
3950,68
3950,67
3951,69
3951,63
3951,65
3951,49
3951,64
3952,63
3952,57
3952,53
3952,51
3952,42
3953,60
3953,58
3953,61
3953,61
3953,60
3954,45
3954,46
3954,49
3954,45
3954,47
3955,41
3955,45
3955,40
3955,41
3955,42
3956,41
3956,42
3956,41
3956,42
3956,42
3957,42
3957,42
3957,42
3957,47
3957,41
3958,42
3958,43
3958,37
3958,41
3958,43
3959,40
3959,39
3959,41
3959,38
3959,38
3960,37
3960,35
3960,38
3960,38
3960,40
3961,41
3961,38
3961,39
3961,40
3961,42
3962,36
3962,34
3962,32
3962,33
3962,35
3963,36
3963,37
3963,37
3963,33
3963,39
3964,33
3964,33
3964,34
3964,33
3964,33
3965,34
3965,32
3965,34
3965,36
3965,34
3966,35
3966,35
3966,33
3966,35
3966,36
3967,35
3967,34
3967,33
