polygonid,elevation
15386,97
15386,85
15386,80
15386,71
15387,107
15387,103
15387,107
15387,111
15387,126
15388,153
15388,146
15388,112
15388,162
15388,109
15389,68
15389,56
15389,56
15389,47
15389,56
15390,59
15390,42
15390,87
15390,52
15390,43
15391,59
15391,59
15391,49
15391,56
15391,51
15392,28
15392,24
15392,36
15392,27
15392,39
15393,35
15393,36
15393,37
15393,38
15393,36
15394,35
15394,37
15394,38
15394,35
15394,34
15395,41
15395,50
15395,54
15395,47
15395,44
15396,41
15396,76
15396,41
15396,46
15396,47
15397,98
15397,110
15397,96
15397,131
15397,83
15398,185
15398,158
15398,147
15398,168
15398,173
15399,132
15399,160
15399,180
15399,108
15399,101
15400,101
15400,84
15400,90
15400,65
15400,75
15401,115
15401,126
15401,126
15401,111
15401,112
15402,102
15402,85
15402,44
15402,60
15402,49
15403,65
15403,78
15403,94
15403,121
15403,82
15404,94
15404,94
15404,80
15404,73
15404,72
15405,57
15405,72
15405,74
15405,58
15405,57
15406,80
