polygonid,elevation
11979,9
11979,8
11979,7
11979,6
11979,1
11980,15
11980,12
11980,11
11980,6
11980,9
11981,13
11981,1
11981,12
11981,15
11981,5
11982,9
11982,5
11982,5
11982,7
11982,-1
11983,3
11983,7
11983,0
11983,9
11983,6
11984,13
11984,12
11984,10
11984,9
11984,11
11985,8
11985,10
11985,5
11985,10
11985,7
11986,5
11986,4
11986,9
11986,7
11986,8
11987,10
11987,3
11987,5
11987,6
11987,5
11988,9
11988,7
11988,9
11988,4
11988,7
11989,12
11989,6
11989,7
11989,10
11989,9
11990,6
11990,14
11990,14
11990,10
11990,11
11991,5
11991,7
11991,8
11991,3
11991,5
11992,9
11992,8
11992,8
11992,5
11992,4
11993,9
11993,9
11993,7
11993,9
11993,9
11994,10
11994,10
11994,16
11994,10
11994,8
11995,5
11995,7
11995,8
11995,6
11995,10
11996,8
11996,12
11996,7
11996,11
11996,9
11997,11
11997,10
11997,7
11997,12
11997,9
11998,6
11998,11
11998,8
11998,10
11998,13
