polygonid,elevation
20693,43
20693,45
20694,43
20694,50
20694,46
20694,51
20694,49
20695,53
20695,58
20695,47
20695,56
20695,52
20696,55
20696,64
20696,65
20696,60
20696,49
20697,120
20697,117
20697,129
20697,108
20697,197
20698,78
20698,84
20698,74
20698,76
20698,77
20699,86
20699,70
20699,69
20699,70
20699,75
20700,115
20700,75
20700,82
20700,76
20700,85
20701,91
20701,92
20701,100
20701,75
20701,110
20702,140
20702,134
20702,139
20702,144
20702,120
20703,110
20703,87
20703,115
20703,104
20703,107
20704,74
20704,77
20704,91
20704,76
20704,90
20705,66
20705,62
20705,72
20705,66
20705,66
20706,83
20706,78
20706,66
20706,82
20706,68
20707,133
20707,109
20707,140
20707,136
20707,106
20708,71
20708,134
20708,133
20708,77
20708,105
20709,68
20709,59
20709,53
20709,70
20709,61
20710,52
20710,51
20710,57
20710,56
20710,54
20711,48
20711,52
20711,50
20711,52
20711,48
20712,42
20712,45
20712,50
20712,44
20712,42
20713,40
20713,41
20713,42
