polygonid,elevation
14865,97
14865,188
14865,83
14865,103
14866,205
14866,190
14866,74
14866,87
14866,195
14867,52
14867,48
14867,33
14867,45
14867,28
14868,45
14868,39
14868,49
14868,39
14868,48
14869,30
14869,28
14869,37
14869,39
14869,35
14870,21
14870,26
14870,22
14870,27
14870,21
14871,20
14871,23
14871,21
14871,20
14871,20
14872,22
14872,18
14872,21
14872,19
14872,18
14873,38
14873,27
14873,40
14873,26
14873,31
14874,18
14874,15
14874,14
14874,18
14874,19
14875,13
14875,17
14875,14
14875,14
14875,14
14876,17
14876,15
14876,16
14876,14
14876,15
14877,12
14877,11
14877,13
14877,15
14877,14
14878,17
14878,23
14878,17
14878,17
14878,14
14879,96
14879,212
14879,138
14879,254
14879,711
14880,196
14880,208
14880,177
14880,201
14880,201
14881,193
14881,186
14881,180
14881,206
14881,194
14882,72
14882,116
14882,99
14882,169
14882,133
14883,201
14883,118
14883,197
14883,207
14883,150
14884,136
14884,212
14884,116
14884,82
14884,227
14885,182
