polygonid,elevation
18390,158
18390,220
18390,123
18391,206
18391,143
18391,186
18391,245
18391,81
18392,217
18392,202
18392,199
18392,230
18392,196
18393,286
18393,82
18393,219
18393,108
18393,157
18394,193
18394,79
18394,124
18394,148
18394,178
18395,87
18395,78
18395,109
18395,90
18395,41
18396,100
18396,101
18396,102
18396,75
18396,107
18397,38
18397,22
18397,25
18397,34
18397,35
18398,26
18398,20
18398,31
18398,31
18398,30
18399,23
18399,26
18399,20
18399,26
18399,26
18400,19
18400,25
18400,15
18400,16
18400,18
18401,19
18401,26
18401,16
18401,28
18401,17
18402,15
18402,17
18402,7
18402,17
18402,8
18403,14
18403,17
18403,17
18403,17
18403,13
18404,11
18404,12
18404,11
18404,17
18404,9
18405,12
18405,10
18405,17
18405,7
18405,11
18406,0
18406,10
18406,2
18406,10
18406,6
18407,10
18407,17
18407,20
18407,5
18407,10
18408,20
18408,16
18408,11
18408,5
18408,16
18409,14
18409,12
18409,15
18409,12
18409,13
18410,14
18410,13
