polygonid,elevation
1323,107
1323,105
1323,108
1324,107
1324,105
1324,106
1324,104
1324,105
1325,99
1325,106
1325,103
1325,105
1325,102
1326,103
1326,103
1326,105
1326,103
1326,107
1327,106
1327,104
1327,104
1327,102
1327,105
1328,104
1328,101
1328,101
1328,99
1328,102
1329,101
1329,95
1329,101
1329,100
1329,101
1330,103
1330,103
1330,100
1330,103
1330,102
1331,103
1331,101
1331,101
1331,99
1331,102
1332,99
1332,104
1332,101
1332,101
1332,104
1333,97
1333,98
1333,98
1333,99
1333,99
1334,94
1334,91
1334,91
1334,98
1334,97
1335,97
1335,96
1335,98
1335,100
1335,97
1336,99
1336,98
1336,99
1336,100
1336,97
1337,96
1337,93
1337,97
1337,97
1337,93
1338,97
1338,98
1338,94
1338,94
1338,97
1339,98
1339,95
1339,93
1339,100
1339,93
1340,98
1340,97
1340,97
1340,96
1340,95
1341,95
1341,96
1341,97
1341,95
1341,96
1342,96
1342,93
1342,96
1342,95
1342,97
1343,93
1343,93
