polygonid,elevation
16848,30
16848,31
16848,30
16849,16
16849,11
16849,21
16849,18
16849,4
16850,94
16850,83
16850,40
16850,64
16850,17
16851,159
16851,75
16851,177
16851,193
16851,66
16852,233
16852,809
16852,1051
16852,829
16852,154
16853,100
16853,150
16853,177
16853,125
16853,179
16854,19
16854,5
16854,121
16854,90
16854,18
16855,121
16855,129
16855,157
16855,77
16855,121
16856,7
16856,5
16856,8
16856,9
16856,6
16857,7
16857,10
16857,13
16857,19
16857,12
16858,31
16858,35
16858,31
16858,18
16858,31
16859,0
16859,5
16859,4
16859,10
16859,5
16860,17
16860,5
16860,10
16860,11
16860,16
16861,20
16861,20
16861,13
16861,12
16861,19
16862,14
16862,19
16862,11
16862,8
16862,11
16863,9
16863,7
16863,7
16863,10
16863,7
16864,36
16864,29
16864,23
16864,29
16864,31
16865,32
16865,24
16865,24
16865,20
16865,31
16866,25
16866,12
16866,10
16866,23
16866,23
16867,8
16867,5
16867,5
16867,10
16867,13
16868,12
16868,12
