polygonid,elevation
261,161
261,682
261,654
261,414
262,507
262,517
262,516
262,549
262,427
263,228
263,312
263,257
263,243
263,289
264,310
264,342
264,359
264,351
264,390
265,788
265,775
265,627
265,691
265,752
266,773
266,904
266,802
266,1005
266,835
267,744
267,754
267,522
267,704
267,614
268,824
268,842
268,742
268,812
268,858
269,1370
269,1143
269,1177
269,1390
269,818
270,1273
270,1514
270,852
270,1069
270,957
271,838
271,603
271,467
271,805
271,704
272,839
272,803
272,860
272,843
272,516
273,1410
273,1094
273,928
273,476
273,1067
274,1149
274,1302
274,1138
274,1191
274,1253
275,1219
275,1341
275,1228
275,1422
275,1322
276,1286
276,1214
276,1269
276,1300
276,1319
277,1149
277,1166
277,1056
277,1181
277,1218
278,1016
278,1372
278,1172
278,949
278,1213
279,1465
279,1523
279,1309
279,1450
279,1452
280,1623
280,1690
280,1604
280,1537
280,1499
281,2174
