polygonid,elevation
6591,39
6591,39
6592,42
6592,41
6592,41
6592,41
6592,43
6593,43
6593,41
6593,41
6593,44
6593,44
6594,38
6594,37
6594,42
6594,37
6594,36
6595,36
6595,36
6595,38
6595,34
6595,37
6596,37
6596,35
6596,37
6596,36
6596,35
6597,36
6597,37
6597,36
6597,38
6597,36
6598,39
6598,36
6598,36
6598,37
6598,38
6599,34
6599,32
6599,36
6599,36
6599,37
6600,38
6600,40
6600,37
6600,37
6600,39
6601,38
6601,41
6601,39
6601,42
6601,38
6602,39
6602,42
6602,39
6602,42
6602,43
6603,40
6603,46
6603,44
6603,45
6603,44
6604,41
6604,44
6604,46
6604,45
6604,42
6605,42
6605,46
6605,45
6605,49
6605,46
6606,44
6606,42
6606,42
6606,42
6606,43
6607,42
6607,43
6607,44
6607,47
6607,46
6608,45
6608,46
6608,45
6608,45
6608,47
6609,47
6609,44
6609,44
6609,46
6609,47
6610,47
6610,47
6610,46
6610,46
6610,48
6611,47
6611,47
6611,47
