polygonid,elevation
9576,84
9576,83
9577,75
9577,81
9577,79
9577,74
9577,75
9578,73
9578,70
9578,75
9578,75
9578,75
9579,67
9579,75
9579,76
9579,69
9579,73
9580,67
9580,70
9580,71
9580,66
9580,68
9581,73
9581,68
9581,68
9581,77
9581,85
9582,80
9582,75
9582,77
9582,84
9582,77
9583,66
9583,64
9583,67
9583,65
9583,71
9584,66
9584,68
9584,71
9584,66
9584,61
9585,67
9585,66
9585,65
9585,71
9585,71
9586,64
9586,67
9586,68
9586,65
9586,62
9587,49
9587,49
9587,49
9587,49
9587,49
9588,44
9588,43
9588,48
9588,50
9588,47
9589,47
9589,48
9589,47
9589,52
9589,48
9590,45
9590,51
9590,47
9590,52
9590,50
9591,49
9591,46
9591,49
9591,47
9591,46
9592,48
9592,49
9592,46
9592,47
9592,46
9593,50
9593,47
9593,46
9593,45
9593,48
9594,61
9594,60
9594,58
9594,58
9594,56
9595,51
9595,51
9595,55
9595,53
9595,54
9596,48
9596,48
9596,50
