polygonid,elevation
14384,5
14385,0
14385,6
14385,0
14385,0
14385,7
14386,11
14386,13
14386,10
14386,10
14386,11
14387,11
14387,10
14387,5
14387,9
14387,13
14388,15
14388,8
14388,8
14388,13
14388,9
14389,21
14389,19
14389,24
14389,17
14389,20
14390,20
14390,20
14390,17
14390,18
14390,16
14391,15
14391,12
14391,16
14391,14
14391,13
14392,32
14392,34
14392,31
14392,38
14392,32
14393,34
14393,33
14393,32
14393,37
14393,38
14394,33
14394,30
14394,25
14394,28
14394,24
14395,45
14395,44
14395,55
14395,45
14395,45
14396,53
14396,37
14396,54
14396,57
14396,52
14397,43
14397,38
14397,39
14397,38
14397,39
14398,35
14398,37
14398,45
14398,37
14398,37
14399,30
14399,23
14399,28
14399,26
14399,28
14400,22
14400,28
14400,25
14400,31
14400,20
14401,22
14401,29
14401,23
14401,32
14401,29
14402,17
14402,17
14402,14
14402,15
14402,18
14403,9
14403,10
14403,0
14403,8
14403,13
14404,12
14404,14
14404,14
14404,13
