polygonid,elevation
11558,487
11558,493
11559,490
11559,490
11559,493
11559,505
11559,492
11560,487
11560,475
11560,473
11560,473
11560,484
11561,474
11561,481
11561,473
11561,475
11561,467
11562,451
11562,449
11562,451
11562,464
11562,453
11563,500
11563,499
11563,504
11563,504
11563,498
11564,503
11564,490
11564,494
11564,488
11564,493
11565,474
11565,473
11565,481
11565,485
11565,477
11566,501
11566,487
11566,520
11566,490
11566,490
11567,498
11567,497
11567,507
11567,481
11567,496
11568,461
11568,463
11568,467
11568,461
11568,465
11569,499
11569,435
11569,573
11569,448
11569,461
11570,558
11570,525
11570,463
11570,541
11570,465
11571,449
11571,447
11571,451
11571,448
11571,449
11572,453
11572,454
11572,446
11572,462
11572,448
11573,470
11573,468
11573,474
11573,436
11573,436
11574,444
11574,444
11574,455
11574,445
11574,440
11575,438
11575,451
11575,445
11575,450
11575,453
11576,442
11576,439
11576,440
11576,446
11576,442
11577,439
11577,440
11577,438
11577,440
11577,437
11578,510
11578,440
11578,436
