polygonid,elevation
2686,286
2686,280
2686,279
2687,271
2687,266
2687,274
2687,271
2687,263
2688,256
2688,258
2688,248
2688,252
2688,254
2689,266
2689,272
2689,274
2689,272
2689,268
2690,285
2690,269
2690,280
2690,265
2690,285
2691,255
2691,254
2691,255
2691,262
2691,253
2692,273
2692,264
2692,270
2692,280
2692,270
2693,267
2693,267
2693,265
2693,262
2693,272
2694,254
2694,253
2694,264
2694,258
2694,264
2695,255
2695,263
2695,251
2695,257
2695,252
2696,253
2696,250
2696,249
2696,256
2696,249
2697,275
2697,268
2697,269
2697,268
2697,264
2698,263
2698,274
2698,253
2698,258
2698,274
2699,241
2699,242
2699,251
2699,246
2699,242
2700,249
2700,248
2700,248
2700,246
2700,245
2701,242
2701,244
2701,247
2701,246
2701,244
2702,242
2702,239
2702,240
2702,240
2702,239
2703,236
2703,244
2703,244
2703,243
2703,240
2704,238
2704,242
2704,239
2704,235
2704,246
2705,273
2705,266
2705,274
2705,264
2705,265
2706,263
2706,260
