polygonid,elevation
19711,104
19711,107
19712,105
19712,107
19712,107
19712,105
19712,106
19713,114
19713,114
19713,110
19713,104
19713,114
19714,108
19714,110
19714,110
19714,109
19714,110
19715,106
19715,108
19715,107
19715,108
19715,109
19716,110
19716,107
19716,106
19716,106
19716,105
19717,107
19717,108
19717,107
19717,108
19717,109
19718,113
19718,110
19718,115
19718,111
19718,112
19719,111
19719,123
19719,116
19719,115
19719,118
19720,131
19720,141
19720,124
19720,131
19720,134
19721,180
19721,110
19721,111
19721,189
19721,124
19722,122
19722,124
19722,122
19722,127
19722,123
19723,123
19723,121
19723,125
19723,122
19723,120
19724,111
19724,114
19724,113
19724,116
19724,116
19725,116
19725,116
19725,117
19725,119
19725,114
19726,118
19726,119
19726,120
19726,118
19726,119
19727,120
19727,122
19727,121
19727,117
19727,122
19728,121
19728,123
19728,122
19728,124
19728,122
19729,114
19729,115
19729,113
19729,115
19729,113
19730,111
19730,114
19730,110
19730,110
19730,111
19731,110
19731,112
19731,110
19731,111
